STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
         44;202506250000;    3;   -999;  16.6;  16.4;  98.9;  16.4;eor
         44;202506250010;    3;   -999;  16.7;  16.5;  99.6;  16.6;eor
         44;202506250020;    3;   -999;  16.7;  16.5;  99.0;  16.5;eor
         44;202506250030;    3;   -999;  16.8;  16.6;  99.4;  16.7;eor
         44;202506250040;    3;   -999;  16.8;  16.6; 100.0;  16.8;eor
         44;202506250050;    3;   -999;  16.7;  16.6; 100.0;  16.7;eor
         44;202506250100;    3;   -999;  16.8;  16.6; 100.0;  16.8;eor
         44;202506250110;    3;   -999;  16.8;  16.6;  99.5;  16.7;eor
         44;202506250120;    3;   -999;  16.8;  16.6; 100.0;  16.8;eor
         44;202506250130;    3;   -999;  16.8;  16.6;  99.7;  16.8;eor
         44;202506250140;    3;   -999;  16.8;  16.5;  99.8;  16.8;eor
         44;202506250150;    3;   -999;  16.8;  16.6;  99.9;  16.8;eor
         44;202506250200;    3;   -999;  16.8;  16.6; 100.0;  16.8;eor
         44;202506250210;    3;   -999;  16.9;  16.7;  99.7;  16.9;eor
         44;202506250220;    3;   -999;  16.9;  16.7;  99.0;  16.7;eor
         44;202506250230;    3;   -999;  17.0;  16.7;  97.9;  16.7;eor
         44;202506250240;    3;   -999;  17.1;  16.7;  97.0;  16.6;eor
         44;202506250250;    3;   -999;  17.2;  16.7;  96.6;  16.7;eor
         44;202506250300;    3;   -999;  17.1;  16.7;  98.2;  16.8;eor
         44;202506250310;    3;   -999;  17.1;  16.7;  97.7;  16.7;eor
         44;202506250320;    3;   -999;  17.1;  16.7;  97.8;  16.8;eor
         44;202506250330;    3;   -999;  17.1;  16.7;  97.8;  16.8;eor
         44;202506250340;    3;   -999;  17.0;  16.7;  98.8;  16.8;eor
         44;202506250350;    3;   -999;  17.0;  16.6;  98.0;  16.7;eor
         44;202506250400;    3;   -999;  17.0;  16.7;  98.4;  16.8;eor
         44;202506250410;    3;   -999;  17.0;  16.7;  98.5;  16.8;eor
         44;202506250420;    3;   -999;  17.1;  16.8;  97.3;  16.7;eor
         44;202506250430;    3;   -999;  17.2;  16.7;  95.9;  16.5;eor
         44;202506250440;    3;   -999;  17.2;  16.7;  95.3;  16.4;eor
         44;202506250450;    3;   -999;  17.2;  16.8;  95.8;  16.5;eor
         44;202506250500;    3;   -999;  17.2;  16.9;  95.1;  16.4;eor
         44;202506250510;    3;   -999;  17.3;  16.9;  94.5;  16.4;eor
         44;202506250520;    3;   -999;  17.3;  17.1;  95.2;  16.5;eor
         44;202506250530;    3;   -999;  17.3;  17.3;  94.6;  16.4;eor
         44;202506250540;    3;   -999;  17.4;  17.5;  95.1;  16.6;eor
         44;202506250550;    3;   -999;  17.5;  17.7;  94.5;  16.6;eor
         44;202506250600;    3;   -999;  17.6;  17.8;  94.7;  16.7;eor
         44;202506250610;    3;   -999;  18.0;  18.6;  93.3;  16.9;eor
         44;202506250620;    3;   -999;  18.2;  18.8;  93.7;  17.2;eor
         44;202506250630;    3;   -999;  18.4;  19.0;  92.4;  17.1;eor
         44;202506250640;    3;   -999;  18.6;  19.9;  91.2;  17.1;eor
         44;202506250650;    3;   -999;  18.8;  20.0;  89.2;  17.0;eor
         44;202506250700;    3;   -999;  19.1;  20.1;  88.8;  17.2;eor
         44;202506250710;    3;   -999;  18.9;  19.8;  89.7;  17.2;eor
         44;202506250720;    3;   -999;  19.0;  19.5;  88.1;  17.0;eor
         44;202506250730;    3;   -999;  19.1;  19.8;  87.7;  17.0;eor
         44;202506250740;    3;   -999;  19.3;  20.1;  87.4;  17.2;eor
         44;202506250750;    3;   -999;  19.7;  21.2;  85.6;  17.2;eor
         44;202506250800;    3;   -999;  19.9;  21.2;  84.0;  17.1;eor
         44;202506250810;    3;   -999;  19.9;  21.5;  84.3;  17.2;eor
         44;202506250820;    3;   -999;  19.7;  20.7;  86.2;  17.3;eor
         44;202506250830;    3;   -999;  19.5;  20.0;  86.3;  17.2;eor
         44;202506250840;    3;   -999;  19.4;  20.0;  87.4;  17.3;eor
         44;202506250850;    3;   -999;  19.6;  20.9;  85.8;  17.2;eor
         44;202506250900;    3;   -999;  19.6;  20.7;  85.9;  17.2;eor
         44;202506250910;    3;   -999;  19.8;  21.5;  85.3;  17.3;eor
         44;202506250920;    3;   -999;  19.9;  21.1;  84.8;  17.3;eor
         44;202506250930;    3;   -999;  19.7;  21.4;  86.3;  17.4;eor
         44;202506250940;    3;   -999;  20.0;  21.9;  84.7;  17.3;eor
         44;202506250950;    3;   -999;  20.0;  22.0;  85.2;  17.4;eor
         44;202506251000;    3;   -999;  20.1;  22.5;  85.3;  17.6;eor
         44;202506251010;    3;   -999;  20.6;  23.1;  82.8;  17.6;eor
         44;202506251020;    3;   -999;  20.8;  24.3;  77.9;  16.8;eor
         44;202506251030;    3;   -999;  20.9;  23.9;  78.1;  16.9;eor
         44;202506251040;    3;   -999;  21.1;  25.1;  76.5;  16.8;eor
         44;202506251050;    3;   -999;  21.5;  26.0;  74.8;  16.8;eor
         44;202506251100;    3;   -999;  21.1;  24.7;  75.4;  16.6;eor
         44;202506251110;    3;   -999;  21.3;  23.9;  76.1;  16.9;eor
         44;202506251120;    3;   -999;  21.5;  24.7;  75.7;  17.0;eor
         44;202506251130;    3;   -999;  21.4;  23.9;  76.1;  17.0;eor
         44;202506251140;    3;   -999;  21.4;  24.3;  74.8;  16.7;eor
         44;202506251150;    3;   -999;  21.2;  23.6;  71.6;  15.9;eor
         44;202506251200;    3;   -999;  21.0;  23.6;  78.5;  17.1;eor
         44;202506251210;    3;   -999;  19.8;  21.0;  81.8;  16.6;eor
         44;202506251220;    3;   -999;  19.0;  19.8;  85.4;  16.5;eor
