stations_id,station_name,bundesland,bundesland_en
3,Aachen,Nordrhein-Westfalen,North Rhine-Westphalia
44,Großenkneten,Niedersachsen,Lower Saxony
71,Albstadt-Badkap,Baden-Württemberg,Baden-Württemberg
73,Aldersbach-Kramersepp,Bayern,Bavaria
78,Alfhausen,Niedersachsen,Lower Saxony
91,Alsfeld-Eifa,Hessen,Hesse
96,Neuruppin-Alt Ruppin,Brandenburg,Brandenburg
102,Leuchtturm Alte Weser,Niedersachsen,Lower Saxony
131,Geringswalde-Altgeringswalde,Sachsen,Saxony
142,Altomünster-Maisbrunn,Bayern,Bavaria
150,Alzey,Rheinland-Pfalz,Rhineland-Palatinate
151,Amberg-Unterammersricht,Bayern,Bavaria
154,Amerang-Pfaffing,Bayern,Bavaria
161,Andernach,Rheinland-Pfalz,Rhineland-Palatinate
164,Angermünde,Brandenburg,Brandenburg
167,Anklam,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
183,Arkona,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
191,Arnstein-Müdesheim,Bayern,Bavaria
198,Artern,Thüringen,Thuringia
217,Attenkam,Bayern,Bavaria
222,Aue,Sachsen,Saxony
232,Augsburg,Bayern,Bavaria
257,Baden-Baden-Geroldsau,Baden-Württemberg,Baden-Württemberg
259,Müllheim,Baden-Württemberg,Baden-Württemberg
268,Baiersbronn-Obertal,Baden-Württemberg,Baden-Württemberg
282,Bamberg,Bayern,Bavaria
294,Barsinghausen-Hohenbostel,Niedersachsen,Lower Saxony
298,Barth,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
303,Baruth,Brandenburg,Brandenburg
314,Kubschütz, Kr. Bautzen,Sachsen,Saxony
320,Heinersreuth-Vollhof,Bayern,Bavaria
326,Beckum-Unterberg,Nordrhein-Westfalen,North Rhine-Westphalia
330,Oberzent-Beerfelden,Hessen,Hesse
342,Belm,Niedersachsen,Lower Saxony
348,Bendorf,Rheinland-Pfalz,Rhineland-Palatinate
377,Bergzabern, Bad,Rheinland-Pfalz,Rhineland-Palatinate
379,Berka, Bad (Flugplatz),Thüringen,Thuringia
390,Berleburg, Bad-Stünzel,Nordrhein-Westfalen,North Rhine-Westphalia
399,Berlin-Alexanderplatz,Berlin,Berlin
400,Berlin-Buch,Berlin,Berlin
410,Berlin-Kaniswall,Berlin,Berlin
420,Berlin-Marzahn,Berlin,Berlin
427,Berlin Brandenburg,Brandenburg,Brandenburg
430,Berlin-Tegel,Berlin,Berlin
433,Berlin-Tempelhof,Berlin,Berlin
445,Bernburg/Saale (Nord),Sachsen-Anhalt,Saxony-Anhalt
450,Bernkastel-Kues,Rheinland-Pfalz,Rhineland-Palatinate
460,Berus,Saarland,Saarland
535,Blankenrath,Rheinland-Pfalz,Rhineland-Palatinate
554,Bocholt-Liedern (Wasserwerk),Nordrhein-Westfalen,North Rhine-Westphalia
555,Bochum,Nordrhein-Westfalen,North Rhine-Westphalia
